rowname	sum.taxonomy
asv.331	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.332	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.333	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Nematalosa;
asv.334	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Soleidae;Liachirus;Liachirus_melanospilos
asv.335	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.353	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.355	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.356	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;
asv.357	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.359	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.360	Eukaryota;Chordata;Actinopteri;Syngnathiformes;Pegasidae;Pegasus;Pegasus_volitans
asv.362	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Rastrelliger;
asv.363	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.364	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Yongeichthys;Yongeichthys_criniger
asv.367	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.387	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.388	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.389	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.392	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.394	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Scophthalmidae;Scophthalmus;Scophthalmus_maximus
asv.395	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;
asv.396	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.399	Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Tylosurus;
asv.370	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
asv.372	Eukaryota;Chordata;Actinopteri;Perciformes;Zoarcidae;Zoarces;Zoarces_elongatus
asv.374	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.375	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.376	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.377	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.378	Eukaryota;Chordata;Actinopteri;;;;
asv.379	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.380	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;;
asv.381	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;Pomatoschistus_knerii
asv.382	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.384	Eukaryota;Chordata;Actinopteri;Gerreiformes;Gerreidae;Gerres;
asv.417	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.420	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.421	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;
asv.424	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.425	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.430	Eukaryota;Chordata;Actinopteri;Siluriformes;;;
asv.432	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.401	Eukaryota;Chordata;Actinopteri;Syngnathiformes;Callionymidae;;
asv.403	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;;
asv.404	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.406	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.407	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.409	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.410	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.412	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
