asv.6	Bacteria;Proteobacteria;Gammaproteobacteria;
asv.3302	Unknown
asv.3304	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3320	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3321	Bacteria;
asv.3340	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3356	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3375	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3380	Eukaryota;Chlorophyta;Ulvophyceae;Bryopsidales;Bryopsidaceae;Bryopsis;
asv.3381	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3401	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3409	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3418	Bacteria;
